Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Apex Holdings, LLC",SLR international corporation,10018257,9/4/2025,9/4/2025,Sep 2025,Bill,Development : Regulatory : Regulatory Procore,"38,251.25 ","38,251.25 ",Paid In Full,DM Phase 2 Feasibility and Design Analysis - August 2025,10/15/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020034612,9/4/2025,9/4/2025,Sep 2025,Bill,Corporate : Legal,"243,150.65 ","243,150.65 ",Paid In Full,DM Services and expenses for legal - August 2025 - August 2025,9/25/2025
"Nexus Data Centers, LLC",EEGrid Analytics LLC,25-19,9/5/2025,9/18/2025,Sep 2025,Bill,Corporate : IT : Services / License,"16,237.50 ","16,237.50 ",Paid In Full,DM Grid Electricity Pricing Software License for one year - 12 months,9/25/2025
"Nexus Hubbard Power, LLC",Oncor Electric Delivery Company LLC,Email support,9/9/2025,10/9/2025,Sep 2025,Bill,Infrastructure : Acquisition costs - Infra,"1,750.00 ","1,750.00 ",Paid In Full,DM Release of easements for HUB-02 (see email support),9/12/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818,9/10/2025,10/1/2025,Sep 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818 9.10,9/10/2025,9/10/2025,Sep 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Data Centers, LLC",Newmark Partners LP,464914-001,9/12/2025,9/27/2025,Sep 2025,Bill,Corporate : Finance,"75,000.00 ","75,000.00 ",Paid In Full,DM Project Apex Land Valuation,9/25/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-362,9/19/2025,9/19/2025,Sep 2025,Bill,Infrastructure : Acquisition costs - Infra,"1,374.78 ","1,374.78 ",Paid In Full,"DM Survey invoice - BOUNDARY SURVEY 0.176 ACRE TRACT, HILL COUNTY, TEXAS - Coffee 1&2",9/24/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818 9.21,9/21/2025,9/21/2025,Sep 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",8202516,9/22/2025,9/22/2025,Sep 2025,Bill,Development : Regulatory : Regulatory Procore,"30,792.16 ","30,792.16 ",Paid In Full,"DM Envi studies, equator principles, water samples - 7/26/2025-8/29/2025",9/26/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",157369,9/24/2025,9/24/2025,Sep 2025,Bill,Development : Engineering : Engineering Procore,"40,860.00 ","40,860.00 ",Paid In Full,"DM Preliminary Power Design, Electrical Master Plan for August - August 2025",11/14/2025
"Nexus Hubbard Power, LLC",Pastore Houldsworth & Co LLC,2025 - 2187,9/25/2025,10/25/2025,Sep 2025,Bill,Development : Consulting : Consulting Gen,"11,366.76 ","11,366.76 ",Paid In Full,DM September 2025 consulting services - 9/1-9/22 2025,2/26/2026
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-1.2,9/25/2025,10/10/2025,Sep 2025,Bill,Development : Engineering : Engineering Gen,"13,825.00 ","13,825.00 ",Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - August 2025",10/15/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1031,9/30/2025,10/30/2025,Sep 2025,Bill,Infrastructure : Legal - Infra,"23,962.50 ","23,962.50 ",Paid In Full,DM Company Formation & LPA matters only small amount is company formation - September 2025,10/22/2025
"Nexus Data Centers, LLC",PwC US Tax LLP,208A026294,9/30/2025,10/30/2025,Sep 2025,Bill,Corporate : Accounting,"51,494.00 ","51,494.00 ",Paid In Full,"DM Services through July 31, 2025 (pursuant to 6/5 EL) - June / July 2025",10/22/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-693,9/30/2025,10/15/2025,Sep 2025,Bill,Corporate : HQ / Office,"11,875.26 ","11,875.26 ",Paid In Full,DM Nov rent; September services,10/17/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF 6818 8.27,9/30/2025,9/30/2025,Sep 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,9/30/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-405,10/1/2025,10/1/2025,Oct 2025,Bill,Infrastructure : Acquisition costs - Infra,"1,807.78 ","1,807.78 ",Paid In Full,DM Boundary survey & doc fee - Coffee 1&2 parcels,10/2/2025
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3373,10/1/2025,10/1/2025,Oct 2025,Bill,Infrastructure : Acquisition costs - Infra,"13,000.00 ","13,000.00 ",Paid In Full,DM Real estate support - September 2025,10/2/2025
"Nexus Data Centers, LLC","Braintek, LLC",44819,10/1/2025,10/16/2025,Oct 2025,Bill,Corporate : IT : Services / License,"2,983.82 ","2,983.82 ",Paid In Full,DM October - Monthly Maintenance - October 2025,10/7/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50004,10/1/2025,10/15/2025,Oct 2025,Bill,Corporate : Business development,"20,000.00 ","20,000.00 ",Paid In Full,DM Sales/Leasing Advisory - October 2025,10/6/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS45931,10/1/2025,10/16/2025,Oct 2025,Bill,Corporate : Marketing / Branding,"23,000.00 ","23,000.00 ",Paid In Full,DM Ad - Installment payment,10/7/2025
"Nexus Hubbard Power, LLC",Everllence USA INC,N/A,10/1/2025,10/16/2025,Oct 2025,Bill,Development : Asset Procurement : Asset Procurement Procore,"19,953,015.00 ","19,953,015.00 ",Paid In Full,DM See contract - 20% payment on MAN 13 engines less reservation fee ($15.6M),10/1/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF 6818 8.20,10/1/2025,10/1/2025,Oct 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,9/30/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020035174,10/7/2025,10/7/2025,Oct 2025,Bill,Corporate : Legal,"495,647.42 ","495,647.42 ",Paid In Full,DM Legal Expenses for September 2025 - September 2025,10/15/2025
"Nexus Land Holdings, LLC",City of Hubbard,DM01,10/7/2025,10/7/2025,Oct 2025,Bill,Corporate : Corporate,"1,500.00 ","1,500.00 ",Paid In Full,DM Civic Center Rental for onsite hosting,10/7/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS46303,10/8/2025,10/8/2025,Oct 2025,Bill,Corporate : Marketing / Branding,"50,000.00 ","50,000.00 ",Paid In Full,DM Branding and Marketing Retainer - Retainer,10/15/2025
"Nexus Data Centers, LLC","Ultera, llc",1051,10/14/2025,10/29/2025,Oct 2025,Bill,Corporate : Workforce,"50,000.00 ","50,000.00 ",Paid In Full,DM Recruiting Fees - Finance,10/17/2025
"Nexus Apex Holdings, LLC",Michels Construction inc,21255113,10/15/2025,10/15/2025,Oct 2025,Bill,Development : Fiber : Fiber Procore,"25,860.00 ","25,860.00 ",Paid In Full,"DM Fiber Carrier Engagement & OSP Fiber Network Design to Project Apex""",10/30/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B3,10/15/2025,12/9/2025,Oct 2025,Bill,Corporate : IT : Services / License,"6,662.50 ","6,662.50 ",Paid In Full,DM North American Access - Installment #3 - 4/25-4/26,12/12/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158178,10/16/2025,10/16/2025,Oct 2025,Bill,Development : Engineering : Engineering Procore,"5,975.00 ","5,975.00 ",Paid In Full,DM RUS-25013168-A0 Nexus Prelim Power Design - September 2025,10/30/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158216,10/16/2025,10/16/2025,Oct 2025,Bill,Development : Engineering : Engineering Procore,"45,400.00 ","45,400.00 ",Paid In Full,DM RUS-25010731-A0 Early Works - September 2025,10/30/2025
"Nexus Land Holdings, LLC",Blackland Surveying LLC,25-07-0444(2),10/16/2025,11/15/2025,Oct 2025,Bill,Infrastructure : Acquisition costs - Infra,"3,464.00 ","3,464.00 ",Paid In Full,DM For easements added to the project for 800 SH 171,10/22/2025
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-002,10/20/2025,11/19/2025,Oct 2025,Bill,Development : Project Management : Project Management Procore,"51,220.00 ","51,220.00 ",Paid In Full,"DM Schedule management services for the Nexus Program Team. Reference services agreement
signed on 7/16/2025 between IPI and Nexus Data Centers. - September 2025",11/10/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10019663,10/21/2025,10/21/2025,Oct 2025,Bill,Development : Regulatory : Regulatory Procore,"42,900.00 ","42,900.00 ",Paid In Full,"DM Nexus PSD air permiting, dispersion modeling - August 30, 2025 to October 03, 2025",11/24/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  7/25/2025,10/22/2025,10/22/2025,Oct 2025,Bill,Corporate : Corporate,110.00 ,110.00 ,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 8/1/2025,10/23/2025,10/23/2025,Oct 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-425,10/24/2025,10/24/2025,Oct 2025,Bill,Infrastructure : Acquisition costs - Infra,"1,807.78 ","1,807.78 ",Paid In Full,"DM HUB-34-King - BOUNDARY SURVEY OF 2.938 ACRE
TRACT, HILL COUNTY, TEXAS",10/28/2025
"Nexus Data Centers, LLC","Ultera, llc",1053,10/27/2025,11/11/2025,Oct 2025,Bill,Corporate : Workforce,"30,000.00 ","30,000.00 ",Paid In Full,DM Recruiting Fees - Finance,11/3/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 10/27/25,10/27/2025,10/27/2025,Oct 2025,Bill,Corporate : Corporate,130.00 ,130.00 ,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158426,10/28/2025,10/28/2025,Oct 2025,Bill,Development : Engineering : Engineering Procore,"7,996.04 ","7,996.04 ",Paid In Full,DM RUS-25013168-A0 Nexus Prelim Power Design - October 2025,10/30/2025
